tick,pid,prio_left,prio_right,delta
0,1,60,,
0,2,60,,
0,3,,,
0,4,10,,
0,5,60,,
0,6,90,,
1,1,60,60,0
1,2,60,60,0
1,3,60,60,0
1,4,10,10,0
1,5,60,59,1
1,6,90,89,1
3,1,60,,
3,2,60,,
3,3,60,,
3,4,10,,
3,5,60,,
3,6,90,,
5,1,60,,
5,2,60,,
5,3,60,,
5,4,10,,
5,5,60,,
5,6,90,,
6,1,,60,
6,2,,60,
6,3,,57,
6,4,,10,
6,5,,56,
6,6,,85,
7,1,60,60,0
7,2,60,60,0
7,3,60,57,3
7,4,10,10,0
7,5,60,55,5
7,6,90,84,6
9,1,,60,
9,2,,60,
9,3,,56,
9,4,,10,
9,5,,54,
9,6,,82,
10,1,60,60,0
10,2,60,60,0
10,3,60,55,5
10,4,10,10,0
10,5,60,53,7
10,6,90,81,9
11,1,,60,
11,2,,60,
11,3,,54,
11,4,,10,
11,5,,53,
11,6,,80,
12,1,60,,
12,2,60,,
12,3,60,,
12,4,10,,
12,5,60,,
12,6,90,,
13,1,,60,
13,2,,60,
13,3,,54,
13,4,,10,
13,5,,52,
13,6,,78,
14,1,,60,
14,2,,60,
14,3,,53,
14,4,,10,
14,5,,52,
14,6,,78,
15,1,60,,
15,2,60,,
15,3,60,,
15,4,10,,
15,5,60,,
15,6,90,,
16,1,60,,
16,2,60,,
16,3,60,,
16,4,10,,
16,5,60,,
16,6,90,,
17,1,,60,
17,2,,60,
17,3,,52,
17,4,,10,
17,5,,50,
17,6,,75,
18,1,60,60,0
18,2,60,60,0
18,3,60,52,8
18,4,10,10,0
18,5,60,49,11
18,6,90,74,16
19,1,,60,
19,2,,60,
19,3,,51,
19,4,,10,
19,5,,49,
19,6,,74,
20,1,,60,
20,2,,60,
20,3,,50,
20,4,,10,
20,5,,48,
20,6,,73,
21,1,60,,
21,2,60,,
21,3,60,,
21,4,10,,
21,5,60,,
21,6,90,,
22,1,60,60,0
22,2,60,60,0
22,3,60,49,11
22,4,,10,
22,5,,47,
22,6,90,71,19
23,1,60,60,0
23,2,60,60,0
23,3,60,49,11
23,4,10,10,0
23,5,60,47,13
23,6,90,70,20
25,1,60,60,0
25,2,60,60,0
25,3,60,48,12
25,4,10,10,0
25,5,60,46,14
25,6,90,68,22
27,1,,60,
27,2,,60,
27,3,,47,
27,4,,10,
27,5,,45,
27,6,,67,
28,1,60,60,0
28,2,60,60,0
28,3,60,47,13
28,4,10,10,0
28,5,60,45,15
28,6,90,66,24
30,1,60,60,0
30,2,60,60,0
30,3,60,46,14
30,4,10,10,0
30,5,60,44,16
30,6,90,64,26
31,1,60,60,0
31,2,60,60,0
31,3,60,45,15
31,4,10,10,0
31,5,60,43,17
31,6,90,63,27
32,1,,60,
32,2,,60,
32,3,,44,
32,4,,10,
32,5,,43,
32,6,,62,
33,1,60,60,0
33,2,60,60,0
33,3,60,44,16
33,4,10,10,0
33,5,60,43,17
33,6,90,61,29
34,1,,60,
34,2,,60,
34,3,,44,
34,4,,10,
34,5,,42,
34,6,,60,
38,1,60,,
38,2,60,,
38,3,60,,
38,4,10,,
38,5,60,,
38,6,90,,
39,1,,60,
39,2,,60,
39,3,,41,
39,4,,10,
39,5,,40,
39,6,,56,
40,1,60,60,0
40,2,60,60,0
40,3,60,40,20
40,4,10,10,0
40,5,60,39,21
40,6,90,55,35
41,1,,60,
41,2,,60,
41,3,60,40,20
41,4,10,10,0
41,5,60,38,22
41,6,90,54,36
42,1,60,,
42,2,60,,
42,3,60,,
42,4,,,
42,5,60,,
42,6,90,,
45,1,60,60,0
45,2,60,60,0
45,3,60,38,22
45,4,10,10,0
45,5,60,36,24
45,6,90,51,39
46,1,60,,
46,2,60,,
46,3,60,,
46,4,10,,
46,5,60,,
46,6,90,,
47,1,60,60,0
47,2,60,60,0
47,3,60,37,23
47,4,10,10,0
47,5,60,35,25
47,6,90,49,41
48,1,60,60,0
48,2,60,60,0
48,3,60,36,24
48,4,10,10,0
48,5,60,35,25
48,6,90,48,42
